id,catégorie,abstraction,consigne,bonus
1,introspection,concret,"Votre narrateur relie un souvenir à sa situation présente.",
2,structure,intermédiaire,"Commencez la scène par une question sans réponse.",
3,sensoriel,concret,"Décrivez l’odeur dominante dans la pièce et ce qu’elle évoque chez le personnage.",
4,dialogue,concret,"Faites intervenir un dialogue qui tourne en rond, sans avancer.",
5,action,concret,"Quelqu’un fait irruption et interrompt la scène.",
6,personnage,concret,"Donnez à un personnage un tic ou une manie soudaine.",
7,émotion,intermédiaire,"Mettez l’accent sur ce que ressent le personnage… mais sans jamais nommer l’émotion.",
8,structure,abstrait,"Inversez la cause et la conséquence.",
9,sensoriel,concret,"Décrivez la température de la scène : chaud, froid, moite, et son effet sur les corps.",
10,rythme,abstrait,"Accélérez le rythme, puis cassez-le d’un coup.",
11,action,concret,"Un personnage fait tomber ou casse un objet important.",
12,introspection,abstrait,"Laissez un blanc, un silence, une absence de mots.",
13,structure,intermédiaire,"Racontez la scène à la deuxième personne du singulier (« tu »).",
14,sensoriel,concret,"Un son ou une musique parasite l’attention des personnages.",
15,structure,abstrait,"Écrivez la scène comme si c’était la dernière de l’histoire.",
16,twist,intermédiaire,"Révélez qu’un personnage ment, mais sur un détail sans importance apparente.",
17,dialogue,concret,"Faites prononcer une phrase absurde à un personnage.",
18,ambiance,abstrait,"Traitez la scène comme un rêve ou une hallucination.",
19,personnage,intermédiaire,"Faites changer un personnage d’avis au milieu de la scène, sans raison claire.",
20,action,concret,"Faites commencer la scène par un accident minuscule.",
